Nr;Name;Pop;Lat;Long;URL
1;Berlin;3 520 031;52.520;13.380;https://en.wikipedia.org/wiki/Berlin
2;Hamburg;1 787 408;53.550;10.000;https://en.wikipedia.org/wiki/Hamburg
3;Munchen;1 450 381;48.140;11.580;https://en.wikipedia.org/wiki/Munich
4;Koln;1 060 582;50.950;6.970;https://en.wikipedia.org/wiki/Cologne
5;Frankfurt; 732 688;50.120;8.680;https://en.wikipedia.org/wiki/Frankfurt
6;Dortmund; 586 181;51.510;7.480;https://en.wikipedia.org/wiki/Frankfurt
7;Stuttgart; 623 738;48.790;9.190;https://en.wikipedia.org/wiki/Stuttgart
8;Essen; 582 624;51.470;7.000;https://en.wikipedia.org/wiki/Essen
9;Dusseldorf; 612 178;51.240;6.790;https://en.wikipedia.org/wiki/DŸsseldorf
10;Bremen; 557 464;53.080;8.810;https://en.wikipedia.org/wiki/Bremen
11;Hannover; 532 163;52.400;9.730;https://en.wikipedia.org/wiki/Hannover
12;Duisburg; 491 231;51.430;6.750;https://en.wikipedia.org/wiki/Duisburg
13;Nurnberg; 509 975;49.450;11.050;https://en.wikipedia.org/wiki/Nurnburg
14;Leipzig; 560 472;51.350;12.400;https://en.wikipedia.org/wiki/Leipzig
15;Dresden; 543 825;51.050;13.740;https://en.wikipedia.org/wiki/Dresden
16;Bochum; 364 742;51.480;7.200;https://en.wikipedia.org/wiki/Bochum
17;Wuppertal; 350 046;51.260;7.180;https://en.wikipedia.org/wiki/Wuppertal
18;Bielefeld; 333 090;52.030;8.530;https://en.wikipedia.org/wiki/Bielefeld
19;Bonn; 318 809;50.730;7.100;https://en.wikipedia.org/wiki/Bonn
20;Mannheim; 305 780;49.500;8.470;https://en.wikipedia.org/wiki/Mannheim
